poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct,is_national
88762,568,YouGov,133,CBS News,YouGov,391,YouGov,3,-1.1,Online Panel,9,Arizona,10/11/24,10/16/24,NA,NA,NA,NA,NA,NA,213103,1435,lv,NA,lv,NA,10/17/24 19:50,NA,https://www.cbsnews.com/news/trump-harris-poll-arizona-10-17-2024/,https://www.cbsnews.com/news/trump-harris-poll-arizona-10-17-2024/,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/cbsnews_20241016_az_1_updated.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,48,0
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,NA,10/12/24,10/15/24,NA,NA,NA,NA,NA,NA,212851,1457,rv,NA,rv,NA,10/16/24 09:33,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,48,1
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,NA,10/12/24,10/15/24,NA,NA,NA,NA,NA,NA,212852,1314,lv,NA,lv,NA,10/16/24 09:34,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,49,1
88670,568,YouGov,133,CBS News,YouGov,391,YouGov,3,-1.1,Online Panel,9,NA,10/8/24,10/11/24,NA,NA,NA,NA,NA,NA,212487,2712,lv,NA,lv,NA,10/13/24 14:23,NA,https://www.cbsnews.com/news/trump-harris-poll-how-information-beliefs-shape-tight-2024-campaign/,https://www.cbsnews.com/news/trump-harris-poll-how-information-beliefs-shape-tight-2024-campaign/,NA,https://www.scribd.com/document/779428302/cbsnews-20241013-SUN#fullscreen&from_embed,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,51,1
88664,1424,Siena/NYT,1875,The Philadelphia Inquirer,The New York Times/Siena College,448,The New York Times/Siena College,3,-1.5,Live Phone,9,Pennsylvania,10/7/24,10/10/24,NA,NA,NA,NA,NA,NA,212457,857,rv,NA,rv,NA,10/12/24 10:39,NA,https://www.nytimes.com/2024/10/12/upshot/harris-trump-polls-election.html,https://www.nytimes.com/2024/10/12/upshot/harris-trump-polls-election.html,https://www.nytimes.com/interactive/2024/10/12/us/elections/times-siena-inquirer-poll-pennsylvania-toplines.html,https://www.nytimes.com/interactive/2024/10/12/us/elections/times-siena-inquirer-poll-pennsylvania-crosstabs.html,NA,NA,NA,8872,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,50,0
88664,1424,Siena/NYT,1875,The Philadelphia Inquirer,The New York Times/Siena College,448,The New York Times/Siena College,3,-1.5,Live Phone,9,Pennsylvania,10/7/24,10/10/24,NA,NA,NA,NA,NA,NA,212458,857,rv,NA,rv,NA,10/12/24 10:39,NA,https://www.nytimes.com/2024/10/12/upshot/harris-trump-polls-election.html,https://www.nytimes.com/2024/10/12/upshot/harris-trump-polls-election.html,https://www.nytimes.com/interactive/2024/10/12/us/elections/times-siena-inquirer-poll-pennsylvania-toplines.html,https://www.nytimes.com/interactive/2024/10/12/us/elections/times-siena-inquirer-poll-pennsylvania-crosstabs.html,NA,NA,NA,8872,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,49,0
88664,1424,Siena/NYT,1875,The Philadelphia Inquirer,The New York Times/Siena College,448,The New York Times/Siena College,3,-1.5,Live Phone,9,Pennsylvania,10/7/24,10/10/24,NA,NA,NA,NA,NA,NA,212459,857,lv,NA,lv,NA,10/12/24 10:39,NA,https://www.nytimes.com/2024/10/12/upshot/harris-trump-polls-election.html,https://www.nytimes.com/2024/10/12/upshot/harris-trump-polls-election.html,https://www.nytimes.com/interactive/2024/10/12/us/elections/times-siena-inquirer-poll-pennsylvania-toplines.html,https://www.nytimes.com/interactive/2024/10/12/us/elections/times-siena-inquirer-poll-pennsylvania-crosstabs.html,NA,NA,NA,8872,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,50,0
88664,1424,Siena/NYT,1875,The Philadelphia Inquirer,The New York Times/Siena College,448,The New York Times/Siena College,3,-1.5,Live Phone,9,Pennsylvania,10/7/24,10/10/24,NA,NA,NA,NA,NA,NA,212460,857,lv,NA,lv,NA,10/12/24 10:39,NA,https://www.nytimes.com/2024/10/12/upshot/harris-trump-polls-election.html,https://www.nytimes.com/2024/10/12/upshot/harris-trump-polls-election.html,https://www.nytimes.com/interactive/2024/10/12/us/elections/times-siena-inquirer-poll-pennsylvania-toplines.html,https://www.nytimes.com/interactive/2024/10/12/us/elections/times-siena-inquirer-poll-pennsylvania-crosstabs.html,NA,NA,NA,8872,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,49,0
88665,1424,Siena/NYT,NA,NA,The New York Times/Siena College,448,The New York Times/Siena College,3,-1.5,Live Phone,9,Arizona,10/7/24,10/10/24,NA,NA,NA,NA,NA,NA,212461,808,lv,NA,lv,NA,10/12/24 10:39,NA,https://www.nytimes.com/2024/10/12/upshot/harris-trump-polls-election.html,https://www.nytimes.com/2024/10/12/upshot/harris-trump-polls-election.html,https://www.nytimes.com/interactive/2024/10/12/us/elections/times-siena-poll-arizona-toplines.html,https://www.nytimes.com/interactive/2024/10/12/us/elections/times-siena-poll-arizona-crosstabs.html,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,46,0
88665,1424,Siena/NYT,NA,NA,The New York Times/Siena College,448,The New York Times/Siena College,3,-1.5,Live Phone,9,Arizona,10/7/24,10/10/24,NA,NA,NA,NA,NA,NA,212462,808,lv,NA,lv,NA,10/12/24 10:39,NA,https://www.nytimes.com/2024/10/12/upshot/harris-trump-polls-election.html,https://www.nytimes.com/2024/10/12/upshot/harris-trump-polls-election.html,https://www.nytimes.com/interactive/2024/10/12/us/elections/times-siena-poll-arizona-toplines.html,https://www.nytimes.com/interactive/2024/10/12/us/elections/times-siena-poll-arizona-crosstabs.html,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,45,0
